,id,study.name,effect.key,b,s,n,specialty,outcome.group,outcome.flag,outcome.nr,comparison.nr,RCT,study.year,outcome_name,comparison_name,z,gemini-1.5-flash,human_response,gold_answer_GPT4,llama3-8b-8192,llama_8b_acc,llama3-70b-8192,llama_70b_acc,mixtral-8x7b-32768,mixtral_8x7b_acc,MV,MV_acc,gemini-1.5-pro,gpt4_acc,gemini_1.5flash_acc,gemini_1.5pro_acc,gemini_1.5flash_acc_clean,gemini_1.5pro_acc_clean,gemma_7b_it_acc_clean,gemma_7b_it_acc
0,CD003412,Wang 2001,STD-Wang-2001 1.625 0.457 44 39,0.606135803570315,0.564076074817766,83,Skin & Wounds,efficacy,DICH,1,6,no,2001.0,Recurrence at one year (histological),PDT vs cryotherapy,1.07456392963686,"negative 
",negative,,,,,,,,,,,,,,,,,
1,CD009346,Ayoglu 2007,STD-Ayoglu-2007 0.342 0.282 60 30,-1.83174195061659,0.491670969779808,90,Anaesthesia & Pain,efficacy,DICH,1,2,yes,2007.0,Pain,Rocuronium admixtures,-3.72554424239634,"negative 
",negative,,,,,,,,,,,,,,,,,
2,CD003431,Bielecki 2003,STD-Bielecki-2003 1.056 0.88 21 22,0.054067221270276,0.880257803810674,43,Gastroenterology,efficacy,DICH,1,4,yes,2003.0,NON - Healing,GTN versus Calcium Channel Blocker,0.0614220300418999,"negative 
",negative,,,,,,,,,,,,,,,,,
3,CD002745,Hall 1987,STD-Hall-1987 0.36 0.474 37 32,-1.34547236659964,0.60380736442456,69,Lungs,efficacy,DICH,1,1,no,1987.0,Fever day 3,Amantadine or rimantadine compared to placebo or acetaminophen in the treatment of influenza A in children,-2.22831393896942,"negative 
",negative,,,,,,,,,,,,,,,,,
4,CD007122,Turkey 2014,STD-Turkey-2014 0.514 0.313 377 349,-0.704879331183482,0.33101620006435,726,Pregnancy & Childbirth,efficacy,DICH,1,6,yes,2014.0,Diagnosis of gestational diabetes,Two-step (50 g OGCT and 100 g OGTT) versus one-step (75 g OGTT) approach,-2.12944058643188,"negative 
",negative,,,,,,,,,,,,,,,,,
5,CD003594,Mantan 2008,STD-Mantan-2008 1.126 0.284 26 23,0.241162056816888,0.573588989612187,49,Kidney & Transplant,efficacy,DICH,1,8,yes,2008.0,Treatment response at 6 months,IV versus oral cyclophosphamide (CPA) plus IV dexamethasone (DEXA),0.420444013369123,"neutral 
",neutral,,,,,,,,,,,,,,,,,
6,CD005067,Momeni 2003,STD-Momeni-2003 1.833 0.462 45 45,0.743336925083801,0.559131959310739,90,Skin & Wounds,efficacy,DICH,1,46,yes,2003.0,Participants complete cure,Topical ketoconazole (twice a day) versus vehicle (twice a day) for 30 d,1.32944810738441,"positive 
",positive,,,,,,,,,,,,,,,,,
7,CD000308,Courtney 1992,STD-Courtney-1992 0.304 1.082 23 28,-1.29928298413026,1.1563395747449,51,Neonatal,efficacy,DICH,1,1,no,1992.0,Endotracheal reintubation,Dexamethasone vs Placebo (all infants),-1.1236171558142,"negative 
",negative,,,,,,,,,,,,,,,,,
8,CD005958,Best 1997,STD-Best-1997 0.207 0.755 16 19,-1.57307026826323,0.755403812960274,35,Spine & Muscles,efficacy,DICH,1,9,no,1997.0,Prevalence LBP in the previous year (FU 12 mo),MMH training versus minor advice (cohort studies),-2.08242299188123,"negative 
",negative,,,,,,,,,,,,,,,,,
9,CD008472,Ali 2007,STD-Ali-2007 0.667 0.886 41 41,-0.431440594511425,0.94089858563399,82,Heart & Hypertension,efficacy,DICH,1,1,yes,2007.0,Perioperative mortality,Remote ischaemic preconditioning (RIPC) versus no RIPC,-0.458541017171063,"negative 
",negative,,,,,,,,,,,,,,,,,
10,CD004588,Drenth,STD-Drenth 5.202 1.562 51 51,1.64904705052915,1.56192813404784,102,Heart & Hypertension,efficacy,DICH,1,2,yes,2004.0,Mortality: up to 36 days,Mortality,1.05577652043153,"negative 
",negative,,,,,,,,,,,,,,,,,
11,CD007867,Arabi 2011,STD-Arabi-2011 0.706 0.175 120 120,-0.54501698851427,0.271630514565251,240,Emergency & Trauma,efficacy,DICH,1,1,yes,2011.0,Mortality in hospital,Hypocaloric nutrition (intervention) vs. Control,-2.00646451444006,"negative 
",negative,,,,,,,,,,,,,,,,,
12,CD002008,Gray-Donald 1995,STD-Gray_x002d_Donald-1995 0.333 1.12 25 25,-1.18562366565774,1.19182823655699,50,Genetics & Endocrinology,efficacy,DICH,1,2,no,1995.0,Mortality,Dietary advice compared with nutritional supplements,-0.994794072913413,"negative 
",negative,,,,,,,,,,,,,,,,,
13,CD004047,Stewart 1989,STD-Stewart-1989 1.875 0.558 12 18,0.916290731874155,0.815037247176909,30,Psychiatry & Mental Health,efficacy,DICH,1,2,no,1993.0,Non treatment response,MAOIs vs TCA,1.12423172689097,"negative 
",negative,,,,,,,,,,,,,,,,,
14,CD005307,Chuchalin 2008,STD-Chuchalin-2008 1.263 0.144 972 970,0.2572773370829,0.157883980487555,1942,Lungs,efficacy,DICH,1,2,no,2004.0,# patients with exacerbations requiring systemic steroids,Addition of ICS + LABA versus increased dose of ICS alone in steroid-naive patients as first line treatment,1.62953414455609,"negative 
",negative,,,,,,,,,,,,,,,,,
15,CD003552,Stewart 2007,STD-Stewart-2007 0.458 0.583 63 67,-0.828024649575629,0.628730182959136,130,Gynaecology & Urology,efficacy,DICH,1,12,no,2007.0,Pregnancy per woman (3 cycles),Vaginal ring releasing etonogestrel 120 µg + EE 15 µg versus COC norgestimate 250 µg + EE 35 µg,-1.31697932120661,"negative 
",negative,,,,,,,,,,,,,,,,,
16,CD001758,Karas 2011,STD-Karas-2011 6.321 0.785 116 136,1.84383861827294,0.785427685297199,252,Gynaecology & Urology,efficacy,DICH,1,9,yes,2011.0,Number of patients with recurrent full-thickness prolapse,Rectopexy versus no rectopexy,2.34756000175274,"negative 
",negative,,,,,,,,,,,,,,,,,
17,CD006478,Dire 1995,STD-Dire-1995 0.066 0.039 99 109,0.861968050134998,0.520771534108423,208,Skin & Wounds,efficacy,DICH,1,20,no,1995.0,Number of patients that developed wound infection,SSD cream (1%) vs bacitracin zinc ointment,1.65517505024677,"negative 
",negative,,,,,,,,,,,,,,,,,
18,CD000179,Hillman 1963,STD-Hillman-1963 1.714 0.357 588 576,0.554310735705729,0.366727554225349,1164,Pregnancy & Childbirth,efficacy,DICH,1,1,no,1962.0,Pre-eclampsia,Pyridoxine (B6) versus control,1.51150555587954,"negative 
",negative,,,,,,,,,,,,,,,,,
19,CD003412,Rhodes 2004,STD-Rhodes-2004 4.906 1.078 53 52,1.67006253425054,1.11375094903241,105,Skin & Wounds,efficacy,DICH,1,5,no,2004.0,Early treatment failure (lesions measured),MALPDT vs surgery,1.49949370252069,"negative 
",negative,,,,,,,,,,,,,,,,,
20,CD005027,Yan 2013,STD-Yan-2013 1.641 0.234 22 19,1.7404661748405,0.772706945349796,41,Skin & Wounds,efficacy,DICH,1,17,yes,2013.0,Number of participants with significant clinical response at the end of the six-month treatment,"Acupuncture, hot herbal compress, and moxibustion plus Centella triterpenes tablets and vitamin E × Heparin sodium cream plus Centella triterpenes tablets and vitamin E",2.25242724336147,"positive 
",positive,,,,,,,,,,,,,,,,,
21,CD002003,IPPPSH 1985,STD-IPPPSH-1985 0.944 0.132 3185 3172,-0.0602612101033095,0.136686473644621,6357,Heart & Hypertension,efficacy,DICH,1,1,no,1985.0,Mortality,Beta-blocker versus placebo or no treatment,-0.440871788528146,"negative 
",negative,,,,,,,,,,,,,,,,,
22,CD001176,Kjaer 2019,STD-Kjaer-2019 1.167 0.598 6 7,0.287682072451781,1.11803398874989,13,Gastroenterology,efficacy,DICH,1,12,no,2019.0,Clinical improvement at 4 weeks,Adalimumab versus placebo,0.257310667964081,"positive 
",positive,,,,,,,,,,,,,,,,,
23,CD008414,Ewe 1989,STD-Ewe-1989 0.98 0.064 111 121,-0.10648348040245,0.335031425490626,232,Gastroenterology,efficacy,DICH,1,6,yes,1989.0,Clinical relapse at 18 to 36 months,Sulphasalazine versus placebo,-0.317831320588849,"negative 
",negative,,,,,,,,,,,,,,,,,
24,CD005067,Gholami 2000,STD-Gholami-2000 0.938 0.314 96 75,-0.0800427076735364,0.389498911050341,171,Skin & Wounds,efficacy,DICH,1,107,yes,2000.0,Participants complete cure,Topical garlic (twice a day) versus vehicle for 3 weeks,-0.205501749562507,"positive 
",positive,,,,,,,,,,,,,,,,,
25,CD003557,Bishop 1992,STD-Bishop-1992 5.806 1.049 31 30,1.94017947434633,1.11406886020899,61,Skin & Wounds,efficacy,DICH,1,18,yes,1992.0,Complete healing at 4 weeks,1% silver sulphadiazine cream versus placebo cream,1.74152563063505,"positive 
",positive,,,,,,,,,,,,,,,,,
