id,study_name,effect_key,b,s,n,specialty,outcome_group,outcome_flag,outcome_nr,comparison_nr,RCT,study_year,outcome_name,comparison_name,z,gold_answer_GPT4,llama3-8b-8192,llama3-70b-8192,llama-3_1-70b-versatile,mixtral-8x7b-32768,gemma-7b-it,human_response,MV,llama3-8b-8192_cleaned,llama3-70b-8192_cleaned,llama-3_1-70b-versatile_cleaned,mixtral-8x7b-32768_cleaned,gemma-7b-it_cleaned,MV_cleaned,gold_answer_GPT4_cleaned,gemini-1_5-flash-002,gemini-1_5-flash-002_tokens,gemini-1_5-flash-002_logprobs,gemini-1_5-pro-002,gemini-1_5-flash-002_cleaned,gemini-1_5-pro-002_cleaned,meta-llama_Llama-3_2-1B-Instruct,meta-llama_Llama-3_2-1B-Instruct_cleaned,meta-llama_Llama-3_2-3B-Instruct,meta-llama_Llama-3_2-3B-Instruct_cleaned,meta-llama_Llama-3_2-1B-Instruct_probs,meta-llama_Llama-3_2-3B-Instruct_probs,microsoft_Phi-3_5-mini-instruct,google_gemma-2-2b-it,microsoft_Phi-3_5-mini-instruct_cleaned,google_gemma-2-2b-it_cleaned,microsoft_Phi-3_5-mini-instruct_probs,google_gemma-2-2b-it_probs,ibm-granite_granite-3_0-3b-a800m-instruct,ibm-granite_granite-3_0-2b-instruct,ibm-granite_granite-3_0-3b-a800m-instruct_cleaned,ibm-granite_granite-3_0-2b-instruct_cleaned,Qwen_Qwen2_5-3B-Instruct,Qwen_Qwen2_5-3B-Instruct_cleaned,ibm-granite_granite-3_0-3b-a800m-instruct_probs,ibm-granite_granite-3_0-2b-instruct_probs,Qwen_Qwen2_5-3B-Instruct_probs,label,question,question_id,user,status
CD000004,Blecher 1967,STD-Blecher-1967 0.362 0.353 42 38,-1.55227949859415,0.509869905232146,80,Pregnancy & Childbirth,efficacy,DICH,1,1,no,1967.0,Unchanged or worsening pre-eclampsia,Abdominal decompression for suspected fetal compromise/pre-eclampsia,-3.04446189638785,negative,negative,negative,negative.,negative,"negative.

the outcome",neg,negative,neg,neg,neg,neg,neg,neg,neg,"negative
",negative,0.9981614395267993,"negative
",neg,neg,negative.,neg,negative,neg,0.6767524686179688,0.9711912386663372, negative,"negative 
",neg,neg,0.9465925965321365,0.8122987173222388,neutral. the,negative,neu,neg,negative,neg,0.5738107932693522,0.9734106869597752,0.997212216435396,,"In a medical study on 'Abdominal decompression for suspected fetal compromise/pre-eclampsia', the outcome is 'Unchanged or worsening pre-eclampsia'.",Q0,empty,available
CD000006,Banninger 1978,STD-Banninger-1978 0.441 0.282 80 73,-1.13370360847938,0.379196674468605,153,Pregnancy & Childbirth,efficacy,DICH,1,1,no,1978.0,Short-term pain: pain at day 3 or less (women experiencing any pain),Synthetic sutures versus catgut,-2.9897509256064,negative,neutral,negative,negative.,"negative, as it refers","negative.

pain is",neg,negative,neu,neg,neg,neg,neg,neg,neg,"negative
",negative,0.9947790259105216,"negative
",neg,neg,positive.,pos,negative,neg,0.4820626788760636,0.6145821267845748, negative,"positive 
",neg,pos,0.9764529852884616,0.3419215751723821,neutral. the,positive,neu,pos,negative,neg,0.4493287712861912,0.8660684234373706,0.925684138461235,,"In a medical study on 'Synthetic sutures versus catgut', the outcome is 'Short-term pain: pain at day 3 or less (women experiencing any pain)'.",Q1,empty,available
CD000006,Gemynthe 1996,STD-Gemynthe-1996 1.016 0.035 155 153,0.182521376956474,0.411034252051126,308,Pregnancy & Childbirth,efficacy,DICH,1,2,yes,1996.0,Short-term pain: at 3 days or less,Fast-absorbing synthetic versus standard absorbable synthetic material,0.444053934789288,neutral,neutral,positive,negative,positive,"negative.

short-",neg,negative,neu,pos,neg,pos,neg,neg,neu,"positive
",positive,0.7095214431040864,"negative
",pos,neg,positive.,pos,negative,neg,0.5732691217577432,0.4004550785313112," neutral

","positive 
",neu,pos,0.6162118780038954,0.6954025159048693,positive.,positive,pos,pos,neutral,neu,0.4421186426950932,0.9126908219822424,0.7606852484459687,,"In a medical study on 'Fast-absorbing synthetic versus standard absorbable synthetic material', the outcome is 'Short-term pain: at 3 days or less'.",Q2,empty,available
CD000006,Saint 1993,STD-Saint-1993 0.989 0.026 418 418,-0.0893709058995314,0.211484847970904,836,Pregnancy & Childbirth,efficacy,DICH,1,3,no,1993.0,Short-term pain: pain at 3 days or less,Glycerol impregnated catgut (softgut) versus chromic catgut,-0.422587749226493,negative,neutral,negative,negative.,"negative, because it refers","negative.

pain is",neg,negative,neu,neg,neg,neg,neg,neg,neg,"negative
",negative,0.9977716267183552,"negative
",neg,neg,positive.,pos,negative,neg,0.5068828500558167,0.5036121210338729," neutral

","positive 
",neu,pos,0.5177601785420182,0.4540953493274138,neutral. the,positive,neu,pos,neutral,neu,0.4649094644722193,0.9032541516544592,0.6371375627396078,,"In a medical study on 'Glycerol impregnated catgut (softgut) versus chromic catgut', the outcome is 'Short-term pain: pain at 3 days or less'.",Q3,empty,available
CD000007,Abu Dhabi 1997,STD-Abu-Dhabi-1997 0.529 0.172 827 821,-0.692206245543344,0.18600035093523,1648,Pregnancy & Childbirth,efficacy,DICH,1,1,no,1997.0,PPH clinically estimated blood loss greater than or equal to 500mls,Active vs expectant management (all women),-3.72153193293913,negative,negative,negative,negative.,negative,"negative.

a clinically",neg,negative,neg,neg,neg,neg,neg,neg,neg,"negative
",negative,0.983214769476174,"negative
",neg,neg,negative.,neg,negative,neg,0.5262995173044033,0.8942198995096511, negative,"negative 
",neg,neg,0.99858936266873,0.5854551496207451,positive.,negative,pos,neg,negative,neg,0.4745139766936262,0.9381382453618512,0.9972793177712732,,"In a medical study on 'Active vs expectant management (all women)', the outcome is 'PPH clinically estimated blood loss greater than or equal to 500mls'.",Q4,empty,available
CD000009,Aycicegi-Dinn 2011,STD-Aycicegi_x002d_Dinn-2011 0.319 1.117 24 23,-1.23837423104327,1.19449219093425,47,Psychiatry & Mental Health,efficacy,DICH,1,8,no,2011.0,Short-term smoking cessation,Electrostimulation vs sham stimulation,-1.03673698366726,positive,positive,positive,positive,positive,"positive.

smoking cessation",pos,negative,pos,pos,pos,pos,pos,neg,pos,"positive
",positive,0.9997544718169792,"positive
",pos,pos,positive.,pos,positive,pos,0.6020187943883959,0.6959193309325054, positive,"positive 
",pos,pos,0.977385557863118,0.8574970458563754,positive.,positive,pos,pos,positive,pos,0.5584962183901858,0.5649193281804056,0.991289503841217,,"In a medical study on 'Electrostimulation vs sham stimulation', the outcome is 'Short-term smoking cessation'.",Q5,empty,available
CD000009,Cai 2000,STD-Cai-2000 0.992 0.239 160 170,-0.0101523714640182,0.28942396888688,330,Psychiatry & Mental Health,efficacy,DICH,1,7,no,2000.0,Short-term smoking cessation,Laser therapy vs sham laser,-0.0350778530992579,positive,positive,positive,positive,positive,"positive.

smoking cessation",pos,negative,pos,pos,pos,pos,pos,neg,pos,"positive
",positive,0.99833854384896,"positive
",pos,pos,positive.,pos,positive,pos,0.5993745785628714,0.6922910242181474, positive,"positive 
",pos,pos,0.7539351313031475,0.8004050235194361,positive.,positive,pos,pos,positive,pos,0.6334800407135508,0.5115270946987318,0.9552059342294836,,"In a medical study on 'Laser therapy vs sham laser', the outcome is 'Short-term smoking cessation'.",Q6,empty,available
CD000009,Clavel 1985,STD-Clavel-1985 0.855 0.189 224 205,-0.197034109841127,0.238346626665503,429,Psychiatry & Mental Health,efficacy,DICH,1,3,no,1985.0,NRT,Acupuncture vs other intervention,-0.82667043623674,neutral,neutral,negative,negative.,"neutral

","neutral.

the outcome",neu,negative,neu,neg,neg,neu,neu,neg,neu,"negative
",negative,0.5578864120259662,"negative
",neg,neg,negative.,neg,neutral,neu,0.3824948539262396,0.5584875300369354, neutral,"neutral 
",neu,neu,0.7802369988071735,0.64102682836046,the outcome ',positive,neg,pos,neutral,neu,0.5070517966962345,0.6040248017340262,0.9951282818196232,,"In a medical study on 'Acupuncture vs other intervention', the outcome is 'NRT'.",Q7,empty,available
CD000009,Clavel 1992,STD-Clavel-1992 0.858 0.182 272 243,-0.189777857470409,0.224675246072811,515,Psychiatry & Mental Health,efficacy,DICH,1,2,no,1990.0,Short-term smoking cessation,Acupuncture vs sham acupuncture,-0.844676308528033,positive,positive,positive,positive,positive,"positive.

smoking cessation",pos,negative,pos,pos,pos,pos,pos,neg,pos,"positive
",positive,0.9991830397938536,"positive
",pos,pos,positive.,pos,positive,pos,0.5791695323472057,0.630319102390486, positive,"positive 
",pos,pos,0.978013317138369,0.7743228589414328,positive. short,positive,pos,pos,positive,pos,0.6368418335393822,0.5044217159640546,0.7530742060207725,,"In a medical study on 'Acupuncture vs sham acupuncture', the outcome is 'Short-term smoking cessation'.",Q8,empty,available
CD000009,Lamontagne 1980,STD-Lamontagne-1980 1.4 0.513 25 25,0.441832752279039,0.669636243353583,50,Psychiatry & Mental Health,efficacy,DICH,1,1,no,1980.0,Short-term smoking cessation,Acupuncture vs waiting list/no intervention,0.659810093411778,positive,positive,positive,positive,positive,"positive.

smoking cessation",pos,negative,pos,pos,pos,pos,pos,neg,pos,"positive
",positive,0.9952069032259776,"positive
",pos,pos,positive.,pos,positive,pos,0.6227105203758098,0.6388757528109473, positive,"positive 
",pos,pos,0.9882975110948288,0.745853400426725,positive. short,positive,pos,pos,positive,pos,0.6017208588543943,0.6348235084315264,0.9962620317234118,,"In a medical study on 'Acupuncture vs waiting list/no intervention', the outcome is 'Short-term smoking cessation'.",Q9,empty,available
