index,id,study.name,specialty,outcome_name,comparison_name,microsoft/Phi-3.5-mini-instruct_probs,label,question,question_id,status,user_id
0,CD000004,Blecher 1967,Pregnancy & Childbirth,Unchanged or worsening pre-eclampsia,Abdominal decompression for suspected fetal compromise/pre-eclampsia,0.9465925965321365,,"In a medical study on 'Abdominal decompression for suspected fetal compromise/pre-eclampsia', the outcome is 'Unchanged or worsening pre-eclampsia'. Is this considered a positive or negative health outcome?",Q0,available,empty
1,CD000006,Banninger 1978,Pregnancy & Childbirth,Short-term pain: pain at day 3 or less (women experiencing any pain),Synthetic sutures versus catgut,0.9764529852884616,,"In a medical study on 'Synthetic sutures versus catgut', the outcome is 'Short-term pain: pain at day 3 or less (women experiencing any pain)'. Is this considered a positive or negative health outcome?",Q1,available,empty
2,CD000006,Gemynthe 1996,Pregnancy & Childbirth,Short-term pain: at 3 days or less,Fast-absorbing synthetic versus standard absorbable synthetic material,0.6162118780038954,,"In a medical study on 'Fast-absorbing synthetic versus standard absorbable synthetic material', the outcome is 'Short-term pain: at 3 days or less'. Is this considered a positive or negative health outcome?",Q2,available,empty
3,CD000006,Saint 1993,Pregnancy & Childbirth,Short-term pain: pain at 3 days or less,Glycerol impregnated catgut (softgut) versus chromic catgut,0.5177601785420182,,"In a medical study on 'Glycerol impregnated catgut (softgut) versus chromic catgut', the outcome is 'Short-term pain: pain at 3 days or less'. Is this considered a positive or negative health outcome?",Q3,available,empty
4,CD000007,Abu Dhabi 1997,Pregnancy & Childbirth,PPH clinically estimated blood loss greater than or equal to 500mls,Active vs expectant management (all women),0.99858936266873,,"In a medical study on 'Active vs expectant management (all women)', the outcome is 'PPH clinically estimated blood loss greater than or equal to 500mls'. Is this considered a positive or negative health outcome?",Q4,available,empty
5,CD000009,Aycicegi-Dinn 2011,Psychiatry & Mental Health,Short-term smoking cessation,Electrostimulation vs sham stimulation,0.977385557863118,,"In a medical study on 'Electrostimulation vs sham stimulation', the outcome is 'Short-term smoking cessation'. Is this considered a positive or negative health outcome?",Q5,available,empty
6,CD000009,Cai 2000,Psychiatry & Mental Health,Short-term smoking cessation,Laser therapy vs sham laser,0.7539351313031475,,"In a medical study on 'Laser therapy vs sham laser', the outcome is 'Short-term smoking cessation'. Is this considered a positive or negative health outcome?",Q6,available,empty
7,CD000009,Clavel 1985,Psychiatry & Mental Health,NRT,Acupuncture vs other intervention,0.7802369988071735,,"In a medical study on 'Acupuncture vs other intervention', the outcome is 'NRT'. Is this considered a positive or negative health outcome?",Q7,available,empty
8,CD000009,Clavel 1992,Psychiatry & Mental Health,Short-term smoking cessation,Acupuncture vs sham acupuncture,0.978013317138369,,"In a medical study on 'Acupuncture vs sham acupuncture', the outcome is 'Short-term smoking cessation'. Is this considered a positive or negative health outcome?",Q8,available,empty
9,CD000009,Lamontagne 1980,Psychiatry & Mental Health,Short-term smoking cessation,Acupuncture vs waiting list/no intervention,0.9882975110948288,,"In a medical study on 'Acupuncture vs waiting list/no intervention', the outcome is 'Short-term smoking cessation'. Is this considered a positive or negative health outcome?",Q9,available,empty
10,CD000009,Li 2009,Psychiatry & Mental Health,Short-term smoking cessation,Acupressure vs sham acupressure,0.9885869383855056,,"In a medical study on 'Acupressure vs sham acupressure', the outcome is 'Short-term smoking cessation'. Is this considered a positive or negative health outcome?",Q10,available,empty
11,CD000009,Tian 1996,Psychiatry & Mental Health,Short-term smoking cessation,Acupressure vs waiting list/no intervention,0.9928761445211888,,"In a medical study on 'Acupressure vs waiting list/no intervention', the outcome is 'Short-term smoking cessation'. Is this considered a positive or negative health outcome?",Q11,available,empty
12,CD000009,Yeh 2009,Psychiatry & Mental Health,Short-term smoking cessation,Continuous auricular stimulation vs sham stimulation,0.9924210929102314,,"In a medical study on 'Continuous auricular stimulation vs sham stimulation', the outcome is 'Short-term smoking cessation'. Is this considered a positive or negative health outcome?",Q12,available,empty
13,CD000010,Kamolratanakul 1999,Infectious Diseases,Cure,Active TB: Direct observation of treatment vs self-supervision,0.9984953427388004,,"In a medical study on 'Active TB: Direct observation of treatment vs self-supervision', the outcome is 'Cure'. Is this considered a positive or negative health outcome?",Q13,available,empty
14,CD000010,Krishnaswami 1981,Infectious Diseases,Completion of treatment,Active TB: Intensive vs routine defaulter action,0.9859324411992508,,"In a medical study on 'Active TB: Intensive vs routine defaulter action', the outcome is 'Completion of treatment'. Is this considered a positive or negative health outcome?",Q14,available,empty
15,CD000010,Liefooghe 1999,Infectious Diseases,Completed treatment,Active TB:Counselling/health education vs. routine care,0.9796631852265832,,"In a medical study on 'Active TB:Counselling/health education vs. routine care', the outcome is 'Completed treatment'. Is this considered a positive or negative health outcome?",Q15,available,empty
16,CD000010,Malotte 1998,Infectious Diseases,Keeping first appointment,TB evaluation: Incentive ($5) vs routine care,0.9791359244955956,,"In a medical study on 'TB evaluation: Incentive ($5) vs routine care', the outcome is 'Keeping first appointment'. Is this considered a positive or negative health outcome?",Q16,available,empty
17,CD000010,Morisky 1990,Infectious Diseases,Completion of treatment,Active TB: Incentive plus health education vs routine care,0.936279668120572,,"In a medical study on 'Active TB: Incentive plus health education vs routine care', the outcome is 'Completion of treatment'. Is this considered a positive or negative health outcome?",Q17,in-progress,empty
18,CD000010,Paramasivan 1993,Infectious Diseases,Completion of treatment,Active TB: Defaulter action vs no defaulter action,0.98830845591463,,"In a medical study on 'Active TB: Defaulter action vs no defaulter action', the outcome is 'Completion of treatment'. Is this considered a positive or negative health outcome?",Q18,available,empty
19,CD000010,Sanmarti 1993,Infectious Diseases,Completion of treatment,Prophylaxis: Health education vs no health education,0.7420833285017098,,"In a medical study on 'Prophylaxis: Health education vs no health education', the outcome is 'Completion of treatment'. Is this considered a positive or negative health outcome?",Q19,available,empty
20,CD000010,Tanke 1997,Infectious Diseases,Keeping first appointment,TB Evaluation: Reminders vs no reminders,0.9956679478984106,,"In a medical study on 'TB Evaluation: Reminders vs no reminders', the outcome is 'Keeping first appointment'. Is this considered a positive or negative health outcome?",Q20,available,empty
21,CD000010,Tulsky 2000,Infectious Diseases,Completion of preventive therapy,Prophylaxis: Incentive ($5) vs routine care,0.9830828955035532,,"In a medical study on 'Prophylaxis: Incentive ($5) vs routine care', the outcome is 'Completion of preventive therapy'. Is this considered a positive or negative health outcome?",Q21,available,empty
22,CD000010,White 1998,Infectious Diseases,Keeping first appointment,Prophylaxis: Incentive ($5) plus health education vs health education alone,0.9645408589690324,,"In a medical study on 'Prophylaxis: Incentive ($5) plus health education vs health education alone', the outcome is 'Keeping first appointment'. Is this considered a positive or negative health outcome?",Q22,available,empty
23,CD000010,Wurtele 1980,Infectious Diseases,Keeping first appointment,TB Evaluation: Verbal contract vs no contract,0.995389242274678,,"In a medical study on 'TB Evaluation: Verbal contract vs no contract', the outcome is 'Keeping first appointment'. Is this considered a positive or negative health outcome?",Q23,available,empty
24,CD000012,Begley 2009,Pregnancy & Childbirth,No analgesia/anesthesia,Alternative versus conventional birth settings - all trials,0.5042667501758678,,"In a medical study on 'Alternative versus conventional birth settings - all trials', the outcome is 'No analgesia/anesthesia'. Is this considered a positive or negative health outcome?",Q24,available,empty
25,CD000013,Amin 2003,Pregnancy & Childbirth,"Caesarean section, overall","Transcervical amnioinfusion for intrapartum umbilical cord compression (potential, or diagnosed by EFM)*",0.9834115841632391,,"In a medical study on 'Transcervical amnioinfusion for intrapartum umbilical cord compression (potential, or diagnosed by EFM)*', the outcome is 'Caesarean section, overall'. Is this considered a positive or negative health outcome?",Q25,available,empty
26,CD000013,Vergani 1996,Pregnancy & Childbirth,Suspicious/ominous fetal heart rate pattern,"Transabdominal amnioinfusion for cord compression (potential, or diagnosed by fetal heart rate monitor)",0.9820115737662832,,"In a medical study on 'Transabdominal amnioinfusion for cord compression (potential, or diagnosed by fetal heart rate monitor)', the outcome is 'Suspicious/ominous fetal heart rate pattern'. Is this considered a positive or negative health outcome?",Q26,available,empty
27,CD000014,Choudhary 2010,Pregnancy & Childbirth,Meconium aspiration syndrome,Amnioinfusion for meconium-stained liquor in labour,0.983076211885032,,"In a medical study on 'Amnioinfusion for meconium-stained liquor in labour', the outcome is 'Meconium aspiration syndrome'. Is this considered a positive or negative health outcome?",Q27,available,empty
28,CD000015,Fraser 1993,Pregnancy & Childbirth,Cessation of contractions,Amniotomy to shorten spontaneous labour,0.9883093873942524,,"In a medical study on 'Amniotomy to shorten spontaneous labour', the outcome is 'Cessation of contractions'. Is this considered a positive or negative health outcome?",Q28,available,empty
29,CD000015,Johnson 1997,Pregnancy & Childbirth,Use of oxytocin,Amniotomy to shorten spontaneous labour in multiparae,0.8435763911902134,,"In a medical study on 'Amniotomy to shorten spontaneous labour in multiparae', the outcome is 'Use of oxytocin'. Is this considered a positive or negative health outcome?",Q29,available,empty
